Number_of_Vehicles,Accident_Key,Number_of_Casualties,District,Accident_Severity,Month,Year,Day,Time,Junction_Type,Junction_Control,Collision_Type,Road_Type,Weather,Light_Conditions,Road_Character,Surface_Type,Road_Condition,Surface_Condition,Roadworks,Hit_Run,X_Coordinate,Y_Coordinate,longitude,latitude
2,14375,1,P Wilhems,Slight,Jun,2009,Wed,10:20,Cross,Give way or marking,Head On,Two way,Fair,Daylight,Curve+incline,Asphalt,Good,Dry,No,No,548851,7762969,57.46768326,-20.23025859
1,14376,1,P Wilhems,Slight,Jun,2009,Sat,08:50,T junction,Give way or marking,Hit pedestrian,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,549004,7764327,57.46911119,-20.21798358
2,14377,1,P Wilhems,Slight,Jun,2009,Tue,13:00,Cross,Give way or marking,Side swipe,Two way,Fair,Daylight,Curve+incline,Asphalt,Good,Dry,No,No,548851,7762970,57.46768323,-20.23024955
1,14378,1,P Wilhems,Slight,Jun,2009,Mon,17:00,T junction,Give way or marking,Hit pedestrian,One way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,552855,7754725,57.50625672,-20.30464555
2,14379,2,P Wilhems,Slight,Jun,2009,Mon,11:15,Cross,Give way or marking,Right angle,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,553008,7753316,57.50776366,-20.31737305
1,14380,1,Black River,Slight,Jun,2009,Mon,09:00,Not a junction,Not a junc,Other,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,541955,7753477,57.40188542,-20.31619353
2,14381,2,Black River,Serious,Jun,2009,Fri,22:15,Not a junction,Not a junc,Head On,Two way,Fair,Darkness: Street lights present and lit,Straight+Flat,Asphalt,Good,Dry,No,No,538514,7742820,57.36915362,-20.41256414
2,14382,2,Black River,Slight,Jun,2009,Tue,08:15,Not a junction,Not a junc,Head On,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,541601,7753290,57.39849885,-20.31789105
1,14383,1,Black River,Slight,Jun,2009,Tue,21:15,Not a junction,Not a junc,Hit pedestrian,Two way,Fair,Darkness: Street lights present and lit,Curve only,Asphalt,Good,Dry,No,Yes,538528,7742851,57.36928714,-20.41228374
2,14384,2,P Wilhems,Slight,Jun,2009,Fri,17:30,T junction,Give way or marking,Right angle,Two way,Fair,Dawn/dusk,Straight+Flat,Asphalt,Good,Dry,No,No,549109,7757803,57.47029373,-20.2769326
1,14385,1,P Wilhems,Serious,Jun,2009,Fri,22:00,Not a junction,Not a junc,Hit pedestrian,Two way,Fair,Darkness: Street lights present and lit,Straight+Flat,Asphalt,Good,Dry,No,No,549711,7758609,57.47603643,-20.26963394
2,14386,1,P Wilhems,Slight,Jun,2009,Sat,10:00,Cross,Stop sign,Right angle,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,549763,7759298,57.47651537,-20.26340671
1,14387,3,Savanne,Slight,Jun,2009,Thu,15:50,Not a junction,Not a junc,Hit pedestrian,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,554572,7731010,57.52342573,-20.51888326
2,14388,1,Savanne,Slight,Jun,2009,Sat,06:20,Not a junction,Not a junc,Right angle,Two way,Rain,Dawn/dusk,Straight+Flat,Asphalt,Good,Wet,No,No,552954,7731836,57.50788258,-20.51146582
2,14389,1,Savanne,Serious,Jun,2009,Mon,16:30,Not a junction,Not a junc,Head On,Two way,Fair,Daylight,Curve only,Asphalt,Good,Dry,No,No,555693,7731911,57.53414919,-20.51070927
2,14390,1,Savanne,Slight,Jun,2009,Tue,09:40,Cross,Traffic signal,Rear end,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,554822,7731048,57.52582235,-20.51853266
1,14391,2,Savanne,Slight,Jun,2009,Mon,09:15,Not a junction,Not a junc,Hit pedestrian,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,552946,7731840,57.50780574,-20.5114299
2,14392,2,Savanne,Slight,Jun,2009,Sat,09:15,Not a junction,Not a junc,Head On,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,553499,7731497,57.51311973,-20.51451358
2,14393,1,Moka,Slight,Jun,2009,Mon,07:30,T junction,Give way or marking,Right angle,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,562122,7768129,57.59455376,-20.18324843
2,14394,1,Moka,Slight,Jun,2009,Thu,13:00,Not a junction,Not a junc,Head On,Two way,Rain,Dawn/dusk,Straight+Flat,Asphalt,Good,Wet,No,No,557936,7762374,57.55467629,-20.23538176
1,14395,1,Moka,Slight,Jun,2009,Tue,08:25,Not a junction,Not a junc,Hit pedestrian,Two way,Rain,Daylight,Straight+Flat,Asphalt,Good,Wet,No,No,559182,7765401,57.56650595,-20.20799162
2,14396,1,Moka,Slight,Jun,2009,Sat,23:00,Not a junction,Not a junc,Rear end,Two way,Rain,Darkness: Street lights present and lit,Straight+Flat,Asphalt,Good,Wet,No,Yes,556099,7763571,57.53705239,-20.2246203
2,14397,1,R Rempart,Slight,Jun,2009,Wed,15:47,T junction,Give way or marking,Head On,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,558162,7787720,57.55602983,-20.00634499
2,14398,1,R Rempart,Slight,Jun,2009,Mon,12:40,Not a junction,Not a junc,Rear end,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,559941,7786727,57.57306897,-20.01526377
1,14399,1,P Wilhems,Slight,Jun,2009,Thu,14:15,Cross,Give way or marking,Hit pedestrian,One way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,550670,7759051,57.48520723,-20.2656148
1,14400,1,P Wilhems,Slight,Jun,2009,Thu,15:50,T junction,Give way or marking,Hit pedestrian,One way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,Yes,550867,7758895,57.48709802,-20.2670192
2,14401,1,P Wilhems,Serious,Jun,2009,Mon,20:20,Not a junction,Not a junc,Right angle,Dual carriageway,Fair,Darkness: Street lights present and lit,Straight+Flat,Asphalt,Good,Dry,No,No,551361,7759248,57.49181834,-20.26381625
2,14402,1,P Wilhems,Slight,Jun,2009,Fri,07:20,Not a junction,Not a junc,Side swipe,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,551177,7759575,57.49004718,-20.26086639
2,14403,2,P Wilhems,Slight,Jun,2009,Sat,11:30,Cross,Give way or marking,Right angle,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Wet,No,No,549312,7761160,57.47214598,-20.24659314
3,14404,2,P Wilhems,Serious,Jun,2009,Sat,08:15,Not a junction,Not a junc,Rear end,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,549229,7761318,57.47134699,-20.24516757
2,14405,1,P Wilhems,Slight,Jun,2009,Wed,05:40,Not a junction,Not a junc,Hit parked veh,Two way,Fair,Dawn/dusk,Straight+Flat,Asphalt,Good,Dry,No,No,549094,7765231,57.46994821,-20.20981258
